community,count,location
泾桥四村,10,
花木白杨路360弄,3,"121.555233,31.205457"
陈行新村17弄,2,"121.343802,31.478780"
上海市虹口区四平路827弄,5,"121.500139,31.274711"
通河一村,15,"121.421384,31.235623"
四平路827弄,1,"121.500139,31.274711"
静安区闫安平路123弄,13,"121.490838,31.228881"
云林路,3,"121.395357,31.449380"
浦新丰村,4,"121.398803,31.454298"
乍浦路街道七浦路104弄,11,"121.482754,31.244985"
浦东新区周浦镇繁荣东路159弄,11,"121.585843,31.107723"
茂盛村,37,"121.399387,31.410499"
广粤路150弄,4,"121.467970,31.286408"
老沪闵路1111弄,1,"121.435850,31.126046"
共悦路218,10,"121.413824,31.406752"
丽园路,9,"121.483539,31.209315"
安苑二村,3,"121.434905,31.406435"
德都路399弄,60,"121.423708,31.419686"
闸殷路195弄,1,"121.528307,31.329812"
锦伟路428弄,2,"121.394589,31.401012"
九龙路,12,"121.491600,31.252301"
罗店镇罗东路50弄,3,"121.379818,31.417491"
湄浦路218弄,15,"121.463546,31.405512"
顾荻路,18,"121.389545,31.352894"
杨北中心村185弄,2,"121.410631,31.391889"
杨浦区双阳北路395弄,8,"121.524743,31.298887"
韶山路348弄,12,"121.367119,31.365418"
松江区月台路555弄,1,"121.328677,31.072109"
罗泾镇潘沪路188弄,2,"121.333309,31.481794"
松兰路198弄,5,"121.451982,31.368286"
宝荻路500弄,6,"121.397961,31.361379"
宝杨路3188弄,3,"121.439954,31.375783"
1999弄,1,
嘉定区天祝路377弄,1,"121.263419,31.347647"
采江路8弄,9,"121.485207,31.414400"
六七九村,1,"121.496404,31.400611"
路金星村,1,"121.347241,31.416784"
共富新村连泰路158弄,1,"121.431047,31.350354"
淞滨路810弄,3,"121.489508,31.370027"
镇丰产村,3,"121.704185,31.386038"
青浦区赵巷业煌路128弄,4,"121.234850,31.134350"
浦东新区浦电路138弄,1,"121.521932,31.219078"
美康路,1,"121.335641,31.394846"
罗东路501弄,6,"121.374965,31.431274"
美安路,4,"121.346536,31.387281"
创新西路,1,"121.658080,31.204194"
梅园村,9,"121.349840,31.477042"
友谊路街道牡丹江路2088弄,16,"121.483290,31.402825"
富南苑,3,"121.366531,31.384926"
杨泰一村3184弄,2,"121.439921,31.373629"
马泾桥一村,55,"121.416874,31.419097"
友谊新村,11,"121.535363,31.278037"
菊盛路851弄,4,"121.368467,31.359162"
菊太路999弄,8,"121.361146,31.351299"
同嘉路35弄,1,"121.490220,31.258452"
月辉路,1,"121.436717,31.391283"
竖南村,1,"121.569053,31.578506"
萧云路,7,"121.332639,31.455436"
宝山区罗店镇集贤路800弄,1,"121.343814,31.423622"
中山北路2627弄,1,"121.422204,31.244001"
月浦盛桥鹤林路299弄,1,"121.400214,31.453256"
盘古路2618弄,12,"121.431479,31.389417"
金勺路,7,"121.360593,31.455641"
美艾路198弄,8,"121.362540,31.394015"
祁真路160弄,2,"121.378383,31.321459"
青浦朱家角珠湖路99弄,2,"121.048075,31.110514"
罗店镇年吉路200弄,1,"121.343625,31.401645"
宝山区四元路126弄,4,"121.423806,31.423904"
友谊路1538弄,2,"121.457836,31.392302"
镇王家村,20,"121.386389,31.387299"
铁峰路2001弄,13,"121.456902,31.397146"
市光路,16,"121.514408,31.312980"
阳曲路65弄,7,"121.460249,31.306887"
萧云路1318弄,7,"121.331722,31.455997"
虹口区欧阳路街道四平路421弄,12,"121.491317,31.269786"
宝杨路3288弄,22,"121.436307,31.374545"
大渡河路711弄,2,"121.396884,31.230693"
宝山区菊泉街547弄,1,"121.376199,31.356359"
柳营路650弄,1,"121.457152,31.264098"
抚远路1288弄,7,"121.359793,31.408243"
富锦苑1815弄,9,"121.435614,31.404354"
恒高路128弄,1,"121.470376,31.324987"
闸北区共和新路街道洛川中路1100弄,10,"121.449975,31.263352"
罗店镇毛家路409弄,3,"121.385616,31.428605"
上海市嘉定区淞阳路801弄,1,"121.231114,31.282702"
盛石路,9,"121.407177,31.459612"
美平路696弄,19,"121.339709,31.388244"
向阳新村,9,"121.617780,31.537365"
浦东新区创新西路300弄,2,"121.651343,31.204267"
钦州北路,2,"121.415013,31.180374"
潘新路558弄,13,"121.323278,31.485255"
静安区永兴路928弄,1,"121.459517,31.250760"
黄浦区甘泉路501弄,2,"121.429102,31.260425"
浦东新区潍坊路355弄,10,"121.533437,31.230323"
长建路,4,"121.340401,31.471254"
长逸路388弄,8,"121.490390,31.337026"
乡刘范村,1,
共康四村,4,"121.435423,31.318404"
月川路,14,"121.406072,31.445588"
罗店镇集贤路800弄,1,"121.343814,31.423622"
宝林五村,10,"121.491684,31.405994"
天星村,2,
富联路,2,"121.401330,31.373108"
华浜二村,3,"121.497080,31.346130"
鹤林路250弄,13,"121.400391,31.452831"
镇育德村,1,"121.260190,31.763850"
陆翔路3500弄,6,"121.340170,31.402432"
顾北路39弄,9,"121.401205,31.356022"
友谊西路,34,"121.433971,31.383412"
团结村,1,"120.916319,31.041446"
新川沙路,2,"121.335433,31.470406"
春和路,30,"121.412462,31.411099"
年吉路,2,"121.339462,31.400001"
乡东海村,7,"121.868951,31.337092"
嘉定区双河路437弄,1,"121.377090,31.258755"
普陀区双河路437弄,1,"121.377090,31.258755"
杨浦区殷行街道殷行路307弄,1,"121.538203,31.327420"
新丰花苑,2,"121.400484,31.452858"
上海市普陀区真光路962弄,1,"121.381518,31.238969"
杨宗路,26,"121.409613,31.386965"
宝山区牡丹江路1378弄,1,"121.485598,31.396743"
光明村,3,"121.718627,31.079631"
灵平路333弄,1,
韩家湾路,2,"121.344129,31.412447"
泰和西路3381弄,15,"121.407111,31.350356"
宝翔路560弄,2,"121.322468,31.309458"
镇行南村,10,"121.427781,31.116172"
创建村,2,"121.071851,31.117428"
长江路780弄,2,"121.486203,31.347701"
美平路428弄,7,"121.345334,31.390172"
月城路,2,"121.434558,31.376647"
虹口区高阳路242弄,2,"121.502102,31.252323"
川巷路,1,"121.405400,31.425821"
锦富路,3,"121.405921,31.400297"
罗店镇年吉路358弄,16,"121.356450,31.397533"
湄浦路300弄,2,"121.460823,31.405276"
江杨北路,6,"121.441894,31.394804"
月新南路,12,"121.397548,31.416432"
宝杨路1850弄,5,"121.473344,31.393574"
静安区成都北路1037弄,11,"121.462277,31.239937"
镇协进村,1,"121.290970,31.750617"
顾村镇菊泉街1398弄,1,"121.369502,31.363044"
殷高西路331弄,1,"121.474841,31.321894"
莲花山路99弄,2,"121.450637,31.364488"
花园宅路52弄,7,"121.425665,31.328990"
镇张墅村,1,"121.332146,31.383937"
盛桥明星苑58弄,1,
吴兴路246弄,1,"121.444410,31.201121"
乡潘小村,3,
镇潘桥村,6,"121.345380,31.485911"
镇金桥村,5,"121.531761,31.591837"
宝林七村,18,"121.494433,31.404905"
宝山区竹韵路258弄,2,"121.442423,31.367532"
宝泉路,6,"121.430455,31.413617"
月罗公路束里桥51弄,1,"121.374428,31.417014"
杨行江杨北路2501弄,1,"121.435088,31.416559"
宝山区罗店镇美艾路177弄,1,"121.364134,31.394206"
湄浦路,10,"121.464669,31.406870"
月浦乐业五村218弄,2,"121.423621,31.410349"
南胜村,2,"121.485921,30.861241"
安新村,2,"121.291325,31.441592"
江栀路350弄,2,"121.496561,31.097004"
罗家村,1,"121.151167,30.852420"
月塘路,5,"121.411187,31.423020"
唐西街213弄,1,
镇崔湾村,1,"121.238048,30.909363"
万业紫宸园1865弄,3,
番禺路,1,"121.429905,31.201074"
长发路,3,"121.327221,31.465439"
事处严村,1,
大连西路250弄,1,"121.488405,31.277994"
小营头村,1,"121.322922,30.833752"
番禺路118弄,11,"121.429220,31.207745"
新村乡,1,
双油坊村,2,
镇城头村,1,"121.513436,31.105585"
乡育才村,1,"121.427558,31.086170"
美丰路88弄,4,"121.356498,31.409522"
殷行街道殷行路307弄,6,"121.537099,31.328406"
古莲路,5,"121.402207,31.448972"
菊泉街1596弄,1,"121.367147,31.366699"
罗店镇潘泾路2699弄,1,"121.364175,31.425587"
赤峰路59弄,1,"121.501652,31.278866"
菊太路1609弄,1,"121.348132,31.346028"
盛桥老街二弄,1,"121.404521,31.454637"
密云路528弄,1,"121.496649,31.283093"
镇永联村,1,"121.442585,31.105501"
春申路3355弄,1,"121.395227,31.103612"
罗智路258弄,3,"121.346978,31.385974"
罗太路869弄,1,"121.339288,31.427368"
月浦盛桥鹤林路298弄,2,"121.399574,31.453200"
海滨五村,3,"121.498016,31.383064"
普陀区南大路2860弄,1,"121.356233,31.294308"
联水路,12,"121.401453,31.436300"
练祁路,2,"121.410178,31.432687"
宝山区罗泾镇罗宁路3030弄,1,"121.329383,31.485121"
共祥路,26,"121.393730,31.395597"
月盛路,2,"121.412778,31.431319"
北宗村杨北路99弄,2,"121.417425,31.395387"
塘南街,2,"121.430754,31.419431"
上南八村,1,"121.502622,31.172536"
淞宝路,1,"121.500074,31.385646"
蕰川路,27,"121.429184,31.379899"
锦秋路1601弄,3,"121.372467,31.318422"
巨鹿路,26,"121.451781,31.220302"
沈巷村307弄,1,"121.412586,31.418867"
富锦路,35,"121.394739,31.393003"
罗宁路,17,"121.325623,31.484342"
闫安平路123弄,7,"121.490838,31.228881"
徐汇区桂林东街51弄,12,"121.424413,31.154462"
黄浦区黄家路99弄,12,"121.495968,31.216426"
川沙路506号,2,"121.346240,31.478478"
镇木牌村,2,"121.292204,31.755358"
马塘村,1,
顾北路,1,"121.397514,31.353976"
宝杨路,18,"121.444009,31.375631"
罗东路301弄,1,"121.374953,31.424169"
盘古路弄,1,"121.466028,31.402197"
罗店镇毛家路801弄,1,"121.382057,31.434641"
月浦乐业二村354弄,3,"121.433291,31.411563"
镇堡渔村,1,"121.606235,31.532061"
镇齐南村,2,"121.751930,31.575689"
高安路2弄,3,"121.443280,31.207152"
长兴镇长兴家园699弄,1,"121.675728,31.392986"
共富二村,17,"121.433231,31.349442"
杨鑫路,21,"121.446603,31.372166"
镇新光村,1,"121.533468,31.707426"
4777弄,8,
江阴路,1,"121.470044,31.229846"
镇左庄村,1,"121.539722,31.099254"
高阳路242弄,5,"121.502102,31.252323"
丹巴路1500弄,7,"121.388299,31.241927"
盘古路689弄,5,"121.473511,31.406716"
镇惠中村,2,"121.690144,31.599511"
协西村,1,"121.411944,31.702579"
诸陆西路,1,"121.246770,31.174121"
和桥村,7,"121.329385,31.417094"
嘉定区南翔镇南华路101弄,1,"121.307671,31.288832"
嘉定区茹水路1180弄,1,"121.273909,31.386957"
四元路126弄,32,"121.423806,31.423904"
镇五里村,1,"121.300061,31.379556"
月罗路2333弄,4,"121.352339,31.411975"
莘沥路512弄,1,"121.366909,31.109002"
通河六村,10,"121.451772,31.330975"
富杨路223弄,17,"121.436774,31.389670"
惠民村,1,"121.592968,31.570502"
泰和路,3,"121.486267,31.371322"
月罗公路307弄,7,"121.411058,31.418541"
春雷路三五四弄,1,"121.431737,31.411630"
镇鳌山村,1,"121.424614,31.611567"
罗泾镇潘泾路5777弄,3,"121.338273,31.481650"
车站南路407弄,3,"121.473582,31.294476"
电台路318弄,1,"121.392744,31.350172"
月浦镇顾泾河路14弄,4,"121.402707,31.453836"
镇元东村,1,"121.777175,31.340661"
月丰路,2,"121.392191,31.414766"
铁山路,12,"121.469033,31.359824"
宝林路50弄,6,"121.490774,31.401563"
美安路398弄,6,"121.346050,31.388142"
镇堡北村,2,"121.629519,31.570791"
同泰北路227弄,1,"121.494152,31.378925"
南东路84弄,1,"121.361330,31.385686"
沪太路3611弄,1,"121.408919,31.324083"
双泉路,3,"121.432080,31.418933"
虹口区文迁路38弄,1,"121.479848,31.301761"
长临路1318弄,1,"121.430363,31.329975"
谭杨村,4,"121.332961,31.376301"
顾新东路387弄,3,"121.398664,31.348478"
镇钱沟村,1,"121.513436,31.105585"
宝林路377弄,5,"121.484583,31.401160"
宝山区水产路2199弄,1,"121.447188,31.369056"
罗店镇罗芬路98弄,1,"121.358191,31.392205"
月石村,2,"121.026943,30.867876"
英家塬村,1,
水产路香逸湾128弄,3,"121.446183,31.363765"
蕴川公路,1,"121.374664,31.468786"
锦爱路,1,"121.453575,31.404993"
浦四六村,8,"121.426201,31.418289"
水产西路268弄,1,"121.428028,31.359257"
金丰苑935弄,4,
毛家弄,2,"121.452834,31.257164"
罗店镇毛家宅601弄,1,
乡先进村,2,"121.689171,31.392051"
潘泾路5777弄,4,"121.338273,31.481650"
镇长明村,3,"121.736829,31.383463"
王家村,25,"121.050395,31.011502"
大华路869弄,1,"121.415968,31.275107"
淮海中路,2,"121.440622,31.206123"
上海共康路400弄,1,"121.438302,31.320353"
浩翔路98弄,1,"121.313659,31.313983"
杨行镇杨北路185弄,5,"121.411271,31.393264"
梁圩村,2,
田东路,5,"121.440061,31.173368"
泗塘二村,19,"121.455633,31.335956"
大华路1500弄,1,"121.414520,31.286977"
罗东路50弄,5,"121.379631,31.417548"
镇合兴村,1,"121.700339,31.581417"
武双路,3,"121.310395,31.478599"
闵行区北江路228弄,4,
盛桥石太路86弄,2,"121.400778,31.454442"
毛家路601弄,11,"121.384411,31.433076"
泗塘三村,2,"121.457682,31.335141"
梅川路1111弄,1,"121.386828,31.239076"
丁钱新村305弄,1,"121.375510,31.425639"
宝山区天家路199弄,1,"121.338590,31.382569"
关行政村,4,
杨行东街,1,"121.442869,31.377121"
潘村,4,"121.336842,31.393678"
锦秋路,1,"121.373052,31.319356"
罗店镇塘西街397弄,2,"121.340582,31.420083"
徐家汇路,1,"121.470402,31.206169"
外冈沪宜公路,1,"121.170912,31.368606"
罗新路,1,"121.355482,31.428043"
鹤林路299弄,13,"121.400214,31.453256"
乾溪路200弄,1,"121.412308,31.304714"
广灵四路140弄,1,"121.478909,31.286316"
沈家桥村,21,"121.326419,31.466678"
潘沪路188弄,6,"121.333309,31.481794"
月罗公路300弄,4,"121.411640,31.418649"
铁力路,7,"121.458801,31.406136"
塘西街398弄,3,"121.340200,31.421713"
罗迎路188弄,3,"121.362530,31.401104"
浦东大道1565弄,1,"121.538571,31.243362"
柳营路309弄,3,"121.463537,31.269015"
罗溪路,3,"121.347536,31.413799"
水产路2900弄,3,"121.435785,31.362244"
沈阳路123弄,1,"121.534641,31.261151"
东界经村,16,"121.354563,31.411632"
杨宗路严江巷,2,"121.410642,31.388276"
联泰路518弄,1,"121.423262,31.351703"
闸断路81弄,1,
罗太路533弄,2,"121.341480,31.416612"
顾村镇沪联路487弄,1,"121.364719,31.360464"
毛家路451弄,1,"121.388078,31.431660"
月浦镇塔源路250弄,2,"121.399540,31.450313"
永乐路,1,"121.501879,31.397883"
坑内村,1,
石太路86弄,1,"121.400778,31.454442"
镇北中村,14,"121.438297,31.364479"
镇德都路128弄,1,"121.427883,31.406492"
宝山一村,3,"121.421384,31.235623"
罗店镇富南路199弄,2,"121.366049,31.389737"
春雷路230弄,1,"121.434037,31.406437"
锦南路,1,"121.389071,31.391138"
东林路395弄,19,"121.492826,31.408444"
张杨北路588弄,1,"121.590564,31.267341"
罗北路,16,"121.389093,31.455237"
抚远路1211弄,1,"121.362650,31.408494"
苏家村,1,"121.341130,31.491484"
罗店镇南弄,1,"121.344259,31.411508"
东三里桥路160弄,13,"121.510597,31.199464"
罗秀路850弄,4,"121.432968,31.131603"
北海宁路80弄,8,"121.486899,31.251701"
真光路962弄,9,"121.381518,31.238969"
场中路4弄,2,"121.484183,31.307601"
双城路803弄,1,"121.485248,31.389053"
友谊路1588弄,1,"121.454241,31.393264"
长虹路,10,"121.328723,31.471959"
杨北新村,1,
祁北路361弄,2,"121.346594,31.421770"
罗店镇毛家路600弄,3,"121.384164,31.432768"
白沙园路1333弄,1,"121.433502,31.394576"
镇德都路265弄,4,"121.424070,31.411113"
宝杨路555弄,15,"121.492005,31.401164"
荷泽路567弄,1,"121.595582,31.264941"
月浦春雷路332弄,12,"121.432594,31.410105"
杨泰路338弄,2,"121.440309,31.372179"
杨行镇海德名门333弄,2,"121.484977,31.410780"
潘广路,3,"121.370006,31.364933"
繁华路,1,"121.254864,31.029308"
行合建村,1,"121.762506,31.170595"
三里桥村,1,
杨行镇北宗村路99弄,1,"121.400569,31.386907"
盛桥老街30弄,3,"121.404521,31.454637"
桥顾泾村,1,"121.404521,31.454637"
月塘路宝月花园268弄,3,"121.414735,31.424833"
龙飞路,1,"121.432483,31.369113"
美平路500弄,3,"121.342991,31.389578"
泰和路309弄,1,"121.492932,31.375322"
镇浜西村,2,"121.491889,31.654704"
银都路,1,"121.433213,31.103649"
潘泾路,7,"121.368923,31.414869"
罗店镇年吉路100弄,1,"121.344554,31.401988"
月浦218弄,3,
裕安村,1,"121.833480,31.533695"
毛家路,8,"121.387580,31.425081"
场中路2950弄,4,"121.438074,31.302216"
年吉路650弄,3,"121.334318,31.399414"
陆翔路358弄,1,"121.369634,31.351308"
罗东路305弄,3,"121.375683,31.426107"
蕰川路1623弄,2,"121.432034,31.369481"
月浦镇聚源桥村夹弄,2,"121.389085,31.443388"
月春路,10,"121.389199,31.408258"
杨行镇杨桃路185弄,1,"121.438731,31.372138"
月富路,8,"121.412264,31.429596"
联合村,20,"121.705216,31.253076"
城头村,2,"121.427558,31.086170"
乡民东村,2,"121.859907,31.356410"
杨行镇红林路589弄,4,"121.418989,31.362199"
镇洋桥村,1,"121.305766,31.496245"
竹韵路258弄,14,"121.442508,31.367573"
淞南路211弄,4,"121.495035,31.343010"
紫叶路140弄,1,"121.552372,31.182831"
区湄浦村,8,"121.426177,31.384935"
塘西街,2,"121.342869,31.414219"
罗店镇毛家路800弄,1,"121.382057,31.434641"
飘鹰花园,2,"121.427237,31.367204"
莲花山路700弄,1,"121.436666,31.361614"
宝东路,1,"121.500092,31.399538"
长虹路779弄,7,"121.327811,31.477269"
浦东新区康桥工业园区康桥东路1159弄,1,"121.628124,31.159245"
嘉松中路,1,"121.228550,31.161708"
盛桥老街14弄,7,"121.404521,31.454637"
大场镇走马塘路1228弄,2,"121.372140,31.304864"
杨北路395弄,2,"121.409905,31.392623"
宝山区友谊支路300弄,1,"121.486040,31.408696"
虹口区通州路392弄,1,"121.495520,31.259801"
罗南三村,2,"121.360637,31.389295"
莘沥路128弄,1,"121.374583,31.112601"
安亭镇泽普路318弄,1,"121.162701,31.293864"
天家路200弄,7,"121.337913,31.384845"
夏府村,1,
丰康路50弄,1,"121.699004,31.393629"
徐汇区枫林街道宛平南路921弄,1,"121.453043,31.182785"
宛平南路921弄,1,"121.453043,31.182785"
月浦庆安苑50弄,2,"121.362206,31.359091"
杨行镇竹韵路128弄,1,"121.444169,31.365528"
云天路,4,"121.393004,31.461644"
镇东街村,2,"121.441743,31.376019"
乡崇潼村,2,
毛家路200弄,2,"121.388391,31.422242"
乡新永村,3,"121.852616,31.335710"
镇新路村,12,"121.327695,31.472144"
武威东路479弄,2,"121.399877,31.275335"
嘉定区华亭镇武双路299弄,1,"121.308590,31.471005"
富锦路99弄,1,"121.437480,31.404728"
祁南一村,2,"121.348451,31.416516"
疏影路711弄,18,"121.368492,31.119848"
帆远路55弄,8,"121.481444,31.415149"
龙吴路,1,"121.455728,31.098209"
罗店镇天家路99弄,2,"121.340548,31.383253"
杨泰路,2,"121.429300,31.393078"
高境路477弄,4,"121.472423,31.321866"
控江四村,6,"121.524895,31.285121"
康联路58弄,2,"121.421122,31.346169"
场中路2471弄,3,"121.442768,31.305995"
四塘新村,1,
民星路350弄,1,"121.541319,31.312015"
菊盛路50弄,6,"121.374596,31.349924"
江海新村,1,
国安路789弄,3,"121.501868,31.319509"
安晓路,4,"121.236329,31.313379"
王庄村,1,
月辉路168弄,3,"121.437655,31.390538"
梅陇四村,16,"121.421073,31.137521"
长岛路1203弄,1,"121.593488,31.262413"
月浦镇顾泾河路385弄,1,"121.402145,31.453353"
龙水南路385弄,1,"121.452904,31.154339"
鞍山六村,5,"121.504440,31.275093"
嘉定区华亭镇武双路125弄,2,"121.309215,31.469297"
政悦路500弄,1,"121.523292,31.333313"
金沙江路,1,"121.405922,31.232134"
镇北金村,4,"121.357977,31.384976"
杨泰一村,3,"121.423287,31.236681"
新村路285弄,1,"121.434389,31.266783"
陆翔路698弄,2,"121.366178,31.355186"
上钢新村,1,
庆安路,4,"121.427965,31.411047"
罗东路,8,"121.370478,31.435713"
川沙镇川银路150弄,1,"121.688222,31.192685"
镇海陆村,3,"121.391391,31.444352"
镇新路111弄,1,"121.442065,31.379739"
虹口区三门路719弄,11,"121.480730,31.311581"
新川沙路503弄,2,"121.346634,31.478551"
江文路688弄,8,"121.533011,31.061200"
联谊路619弄,1,"121.421746,31.344002"
罗店镇西西巷街16弄,2,"121.338735,31.414332"
罗泾镇陈功路666弄,3,"121.329323,31.483331"
繁兴路,2,"121.288723,31.219569"
柏岗寨村,1,"121.460622,31.220124"
毛家路801弄,2,"121.382057,31.434641"
港沿村,1,"121.659105,31.579892"
罗店镇市河街2弄,1,"121.650290,30.943470"
上海市黄浦区俞家弄,1,"121.495839,31.217102"
江杨北路1599弄,10,"121.444213,31.398794"
"月浦街道(乡,镇)塔红路沈巷弄",1,
蕴川路1438弄,5,"121.429267,31.360494"
张寨村,1,
浦东新区成山路24弄,2,"121.486050,31.168153"
后屿村,1,
柳园路,1,"121.354914,31.297374"
镇丁谢村,3,"121.460721,31.219736"
新绿街,1,"121.066050,30.931420"
镇德都路168.弄,9,"121.424901,31.409410"
临青路254弄,6,"121.541635,31.265578"
运西村,1,
裕国路581弄,1,"121.839022,31.522212"
合行政村,1,
新陶路,1,"121.333975,31.470474"
乡上丁村,2,
坑里洋村,3,
永清二村,2,"121.503561,31.394016"
顾陈路,1,"121.373628,31.332084"
泗塘六村,2,"121.457923,31.332192"
镇集贤村,1,"121.696351,30.913247"
顾村保利夜上海1198弄,1,
金杨路308弄,8,"121.577471,31.245897"
浦东新区凌河路618弄,1,"121.602882,31.271728"
聚缘区村,1,
萧云路88弄,9,"121.332516,31.453887"
聚源桥夹弄,3,"121.388552,31.442698"
嘉定区华江路666弄,6,"121.326382,31.249545"
街刘溪村,1,
镇卫星村,1,"121.718303,31.537779"
龙镇路,5,"121.423968,31.416535"
庆安路有间公寓51弄,1,"121.530749,31.289971"
环镇北路400弄,1,"121.407555,31.306871"
萧云路99弄,9,"121.337397,31.436978"
乡民生村,2,"121.831909,31.348463"
镇双菱村,2,"121.024272,30.967064"
上海市嘉定区西秋竹路118弄,1,"121.220791,31.380627"
宝山区抚远路538弄,9,"121.366064,31.396117"
沪联路1487弄,1,"121.357597,31.358340"
申浦路332弄,1,"121.412501,31.425381"
田林路89弄,7,"121.419104,31.169859"
菊太路1221弄,5,"121.356674,31.349440"
克山路,2,"121.467116,31.401708"
惠民路,1,"121.527683,31.261124"
十村,1,"121.420765,31.173173"
杨鑫路98弄,12,"121.450984,31.370626"
镇拾年村,1,"121.341130,31.491484"
松江区九亭镇沪松公路1399弄,1,"121.321788,31.137727"
海德名门333弄,1,"121.484977,31.410780"
曹南村,1,"121.427558,31.086170"
塔源路,7,"121.400859,31.446611"
宝山区杨行镇蕰川路1438弄,2,"121.431692,31.361283"
上海菊泉街577弄,1,"121.374161,31.357256"
渡江村,1,
濠头村,1,
牌楼村,1,"121.346328,31.476700"
春雷路,9,"121.432754,31.412741"
武双路299弄,1,"121.308753,31.471384"
镇合建村,7,"121.336204,31.466485"
上海市杭州路,1,"121.535562,31.262375"
铜川路1781弄,1,"121.386501,31.251887"
广福村路325弄,2,"121.341686,31.355044"
嘉定区安亭镇安悦路100弄,1,"121.179268,31.286295"
一二八纪念路55弄,1,"121.466283,31.329532"
上海市虹口区江湾街道沽源路116弄,1,"121.476952,31.303001"
美兰湖198弄,2,"121.349807,31.392286"
中潭路100弄,1,"121.443888,31.252643"
川纪路,3,"121.371587,31.481185"
密山新村,3,"121.480961,31.401574"
南一路,1,"121.432958,31.172696"
上海竹韵路128弄,1,"121.444155,31.365525"
合建村,3,"121.326419,31.466678"
罗店镇罗真路188弄,1,"121.342170,31.395465"
淞滨路110弄,2,"121.497877,31.374052"
北安路,8,"121.427159,31.421339"
愚园路1249弄,6,"121.425704,31.218672"
乡兴隆村,1,"121.850444,31.304439"
顾北东路188弄,2,"121.413877,31.359384"
国伟路,1,"121.531365,31.331669"
文星桥村,1,
韶嘉路51弄,3,"121.476988,31.300042"
四方花园1099弄,1,
民科路,1,"121.318869,31.469780"
蕴川路,8,"121.429031,31.377997"
宝山六村,5,"121.438104,31.258264"
卫星村,1,"121.088657,30.888748"
五潭渡村,1,
杨泰路66弄,2,"121.439797,31.380267"
老安村,3,"121.375556,31.368134"
四元路,10,"121.423806,31.423904"
江杨北路1659弄,1,"121.439347,31.404182"
飞云路,4,"121.340678,31.465393"
德都路281弄,1,"121.423737,31.410945"
盘古路588弄,2,"121.476396,31.405479"
罗店镇罗泰路352弄,1,
罗升路222弄,1,"121.343041,31.411334"
镇一灶村,1,"121.675226,31.052099"
三泉路999弄,1,"121.439244,31.318974"
甘泉路501弄,8,"121.429102,31.260425"
人民路,3,"121.171150,30.904101"
罗东路600弄,2,"121.370478,31.435713"
宝溪村,1,
泰和西路3499弄,5,"121.402556,31.350097"
月富路128弄,1,"121.410939,31.427957"
龙江路,1,"121.529989,31.256472"
盛桥六村,1,"121.404521,31.454637"
月罗路沈巷307弄,1,"121.412586,31.418867"
松傲路,2,"121.439234,31.389336"
丰皓路,1,"121.390816,31.304768"
宝山罗泾镇云中路经十路1658弄,3,"121.336584,31.471321"
普陀区凯旋北路1555弄,1,"121.412363,31.227947"
电台路,1,"121.391231,31.356460"
虹口区江湾街道沽源路116弄,3,"121.476952,31.303001"
罗迎路800弄,4,"121.354202,31.408910"
镇聂家村,1,"121.238048,30.909363"
潘新路255弄,6,"121.331659,31.486187"
潘新路,6,"121.323278,31.485255"
友谊路91弄,8,"121.487012,31.406479"
镇海星村,15,"121.356470,31.482204"
大椿村,1,"121.576626,31.619180"
联谊路,6,"121.418408,31.343117"
长逸路301弄,5,"121.490990,31.338220"
乡定顺村,1,"121.241389,31.161221"
南门关家弄,2,
宝山区临汾路1564弄,1,"121.437448,31.310537"
宝山区阳曲路1388弄,2,"121.460209,31.324240"
美丹路1058弄,4,"121.337248,31.394734"
通河七村,9,"121.452041,31.329248"
蕰川路5350弄,3,"121.408230,31.444689"
国顺路,1,"121.458318,30.932841"
东海村,1,"121.858186,31.476651"
南京西路1955弄,3,"121.441936,31.220430"
陈镇路180弄,3,"121.340977,31.480378"
祁北路85弄,3,"121.351458,31.422806"
毛家路600弄,6,"121.384164,31.432768"
兰溪路21弄,1,"121.414257,31.239282"
明月园,2,"121.404521,31.454637"
顾北东路501弄,4,"121.407195,31.359689"
镇安庄村,1,"121.725432,31.070196"
黄浦区俞家弄,8,"121.495839,31.217102"
蕰川公路,2,"121.412804,31.436667"
翔殷路,1,"121.534239,31.305570"
程子庙村,2,
月新北路,4,"121.395296,31.423616"
月浦宝莲湖260弄,3,
月浦毛家路409弄,1,"121.385616,31.428605"
淞南四村,1,"121.492294,31.345365"
国庠路,1,"121.516904,31.304400"
镇殷泾村,1,"121.402220,31.425065"
大场镇锦秋路1588弄,1,"121.375192,31.316667"
临江二村,4,"121.486994,31.410159"
浦东新区上浦路69弄,1,"121.490197,31.146193"
高境二村,2,"121.479175,31.322011"
凯旋北路1555弄,1,"121.412363,31.227947"
汇善路1320弄,1,"121.203240,31.406323"
镇孔庄村,1,"121.460622,31.220124"
菊泉街12820弄,1,"121.370019,31.367014"
通河三村,3,"121.442790,31.333829"
莲花山路817弄,4,"121.436210,31.361183"
鹤林路,7,"121.399538,31.454204"
水产路991弄,2,"121.492469,31.386347"
德园路1437弄,1,"121.297474,31.311070"
毛家路800弄,2,"121.382057,31.434641"
镇大兴村,1,"121.752203,31.382167"
盛桥老街26弄,4,
镇万元村,1,"121.294977,31.812226"
控江五村,1,
红林路589弄,2,"121.419945,31.362268"
